Id,SalePrice
1461,133890.0
1462,151625.0
1463,183564.0
1464,188600.0
1465,209300.0
1466,180680.0
1467,157320.0
1468,177450.0
1469,179710.0
1470,119940.0
1471,198350.0
1472,96600.0
1473,98180.0
1474,145550.0
1475,127294.0
1476,395438.3
1477,253522.7
1478,326049.0
1479,296644.9
1480,498408.7
1481,317752.4
1482,215050.0
1483,182107.5
1484,166625.1
1485,172330.5
1486,203290.0
1487,342349.4
1488,260178.2
1489,199133.0
1490,199960.0
1491,185883.5
1492,110570.0
1493,191168.5
1494,302264.3
1495,298390.0
1496,210137.8
1497,189080.0
1498,156842.5
1499,151631.36000000002
1500,162348.76
1501,172740.0
1502,155081.6
1503,281252.2
1504,233683.5
1505,204490.0
1506,181700.0
1507,233030.0
1508,203840.0
1509,161030.0
1510,151235.0
1511,151095.0
1512,144000.0
1513,161330.0
1514,164446.4
1515,205580.0
1516,160200.0
1517,150000.0
1518,142770.0
1519,219775.0
1520,141400.0
1521,145685.0
1522,157400.0
1523,127425.0
1524,131928.0
1525,128500.0
1526,126190.0
1527,106740.0
1528,126240.0
1529,139635.0
1530,164320.0
1531,120020.4
1532,98155.0
1533,133402.5
1534,129030.0
1535,173340.0
1536,127910.0
1537,92490.0
1538,220060.0
1539,226420.0
1540,109640.0
1541,176970.0
1542,136870.0
1543,198290.0
1544,80130.0
1545,103800.0
1546,131600.0
1547,121290.0
1548,124790.0
1549,123732.0
1550,146370.0
1551,122140.5
1552,121670.0
1553,184787.5
1554,105040.0
1555,150266.4
1556,86800.0
1557,130321.2
1558,85398.3
1559,100530.0
1560,161520.0
1561,123450.0
1562,130280.0
1563,110438.3
1564,157540.0
1565,153300.0
1566,159000.0
1567,73541.1
1568,199760.0
1569,146750.0
1570,132440.0
1571,126590.0
1572,144920.0
1573,254635.6
1574,133550.0
1575,190640.0
1576,224107.8
1577,202793.0
1578,151918.5
1579,145690.0
1580,188750.0
1581,145490.0
1582,122680.0
1583,341536.9
1584,258850.0
1585,140000.0
1586,67681.1
1587,109600.0
1588,150315.0
1589,103687.6
1590,121107.5
1591,108966.0
1592,133725.0
1593,121665.0
1594,102376.4
1595,131560.0
1596,201750.0
1597,163710.0
1598,182313.5
1599,219750.0
1600,199200.0
1601,63740.0
1602,115570.0
1603,83680.0
1604,267750.0
1605,269361.3
1606,167700.0
1607,175060.0
1608,216486.7
1609,191409.0
1610,171058.5
1611,163880.0
1612,167200.0
1613,181667.9
1614,112840.0
1615,87090.0
1616,83000.0
1617,83540.0
1618,128340.0
1619,137650.0
1620,177320.0
1621,148100.0
1622,146630.0
1623,307740.2
1624,222000.0
1625,120450.0
1626,165540.0
1627,182600.0
1628,274173.9
1629,171359.5
1630,343690.0
1631,240390.0
1632,288402.8
1633,170719.0
1634,178370.0
1635,175721.5
1636,166560.0
1637,185900.0
1638,198250.0
1639,190070.0
1640,248450.0
1641,177490.0
1642,238332.5
1643,241633.5
1644,239437.0
1645,177220.0
1646,165250.0
1647,163140.0
1648,144320.0
1649,134380.0
1650,125990.0
1651,118630.0
1652,96550.0
1653,102340.0
1654,155000.0
1655,136454.0
1656,145550.0
1657,155000.0
1658,145550.0
1659,131554.0
1660,150680.0
1661,465967.3
1662,409928.7
1663,403341.4
1664,459028.5
1665,339931.3
1666,332946.7
1667,326872.0
1668,339367.6
1669,298700.0
1670,345795.0
1671,245404.9
1672,510943.3
1673,287535.2
1674,260631.0
1675,190540.0
1676,188050.0
1677,197301.4
1678,426167.4
1679,373815.0
1680,328956.0
1681,276769.4
1682,286102.3
1683,180839.5
1684,168661.0
1685,171161.5
1686,171410.5
1687,174079.0
1688,184660.0
1689,184000.0
1690,176540.0
1691,172469.0
1692,269771.3
1693,175480.0
1694,181280.0
1695,176850.0
1696,270727.5
1697,177890.0
1698,330324.5
1699,369006.0
1700,242660.0
1701,286360.0
1702,304389.4
1703,278678.7
1704,301687.1
1705,292150.0
1706,451496.5
1707,201258.0
1708,211650.0
1709,308339.4
1710,238707.7
1711,273805.0
1712,297821.5
1713,229226.0
1714,208807.0
1715,193740.0
1716,190319.0
1717,178523.4
1718,131575.0
1719,200445.0
1720,249725.6
1721,170140.0
1722,120965.0
1723,152780.0
1724,220128.8
1725,248547.8
1726,203240.0
1727,182300.0
1728,176313.5
1729,175833.5
1730,162105.0
1731,127240.0
1732,127800.0
1733,111368.3
1734,127628.3
1735,123640.0
1736,117900.0
1737,365690.0
1738,210680.3
1739,272640.0
1740,216815.3
1741,188467.5
1742,172740.0
1743,181620.0
1744,305870.9
1745,215705.0
1746,173400.0
1747,201220.0
1748,210600.0
1749,157385.0
1750,149415.0
1751,227050.0
1752,120368.3
1753,145500.0
1754,183850.0
1755,170250.0
1756,122225.0
1757,119418.3
1758,128500.0
1759,163740.0
1760,159100.0
1761,160550.0
1762,154720.0
1763,159240.0
1764,121462.5
1765,158490.0
1766,165800.0
1767,219820.0
1768,141050.0
1769,125850.0
1770,146580.0
1771,142485.0
1772,139900.0
1773,132945.0
1774,149410.0
1775,133890.0
1776,126950.0
1777,110555.0
1778,131600.0
1779,132400.0
1780,169770.0
1781,139167.5
1782,103125.0
1783,141630.0
1784,92357.6
1785,122620.0
1786,142630.0
1787,146520.0
1788,66690.0
1789,108500.0
1790,66620.0
1791,189690.0
1792,155090.0
1793,139255.0
1794,136238.3
1795,150512.5
1796,142790.0
1797,124150.0
1798,131600.0
1799,116380.0
1800,129920.0
1801,132467.6
1802,173170.0
1803,153615.0
1804,144091.0
